rep,skift,Normal,Brudd,Svikt,overloep_pst,vl_pst,ventet_pst,dpri1_makkerpar_pst
0,Dag_hverdag,79.06918396788559,15.323339396600389,5.607476635514018,1.1917455936774761,4.01430094712413,1.5743586527002447,79.8704534130543
0,Natt_helg,71.62353332778564,10.002496463343597,18.373970208870766,3.8695181825746863,14.20487642506449,4.160772239327619,78.85232744783308
1,Dag_hverdag,79.74659725271279,15.041083861255725,5.212318886031487,1.216834974597002,3.6379602333312424,1.5555416170106002,80.96661684105631
1,Natt_helg,71.37388699342598,10.493467587584256,18.132645418989764,4.027627527669135,13.83872846800366,4.285595406507447,78.73194221508828
2,Dag_hverdag,79.8093207050116,15.172803111083233,5.017876183905162,1.053753998620084,3.5940538167220724,1.4050053314934454,80.36870951669158
2,Natt_helg,71.38220853790463,10.426895231755013,18.19089623034035,3.986019805275859,13.888657734875592,4.293916950986103,78.93258426966293
3,Dag_hverdag,79.0378222417362,16.01329737188735,4.948880386376466,1.0286646177005583,3.5815091262623096,1.3485542244245123,81.06626806178376
3,Natt_helg,72.45568777565116,9.894316385121078,17.64999583922776,3.836232004660065,13.589082133644004,4.052592161105101,79.21348314606742
4,Dag_hverdag,79.97240168098853,14.98463275418679,5.042965564824688,1.066298689079847,3.5689644358025463,1.455184093332497,80.96661684105631
4,Natt_helg,71.44878089373388,10.210535075309977,18.340684030956144,3.961055171839893,13.905300823832903,4.410418573687276,78.29052969502408
5,Dag_hverdag,79.9096782286897,14.98463275418679,5.1056890171235025,0.9471241297120992,3.688138995170294,1.398732986263564,81.41504733432984
5,Natt_helg,71.98968128484647,10.027461096779563,17.98285761837397,3.952733627361238,13.797120745610385,4.160772239327619,79.17335473515249
6,Dag_hverdag,79.92222291914946,14.639653766543312,5.438123314307219,1.329737188734868,3.7069560308599385,1.7123502477576367,81.26557050323866
6,Natt_helg,71.88150120662395,10.143962719480735,17.974536073895315,3.9776982607972036,13.738869934259798,4.227344595156861,79.0529695024077
7,Dag_hverdag,79.72778021702315,14.934453992347738,5.337765790629116,1.260741391206172,3.7006836856300573,1.6182650693094147,80.4185351270553
7,Natt_helg,72.09786136306899,10.143962719480735,17.758175917450277,4.235666139635516,13.347757343763003,4.402097029208621,79.7752808988764
8,Dag_hverdag,79.50197578874742,15.379790503669321,5.118233707583266,1.1352944866085428,3.6505049237910057,1.4489117481026155,80.66766317887394
8,Natt_helg,71.90646584005992,10.010818007822252,18.082716152117833,3.8029458267454443,13.96355163518349,4.110842972455687,78.81219903691814
9,Dag_hverdag,79.33262246754062,15.166530765853354,5.500846766606034,1.317192498275105,3.888854042526501,1.593175688389889,80.91679123069258
9,Natt_helg,71.64849796122161,10.160605808438046,18.19089623034035,3.9444120828825833,13.946908546226181,4.235666139635516,78.49117174959872
10,Dag_hverdag,79.58978862196575,15.19789249200276,5.212318886031487,1.1290221413786616,3.7571347926989898,1.4363670576428527,80.91679123069258
10,Natt_helg,71.93975201797454,10.285428975617874,17.77481900640759,3.952733627361238,13.539152866772072,4.227344595156861,79.85553772070627
11,Dag_hverdag,80.00376340713792,14.790190052060465,5.206046540801606,1.1854732484475945,3.7006836856300573,1.4865458194819043,80.91679123069258
11,Natt_helg,71.46542398269119,10.543396854456187,17.991179162852625,3.8029458267454443,13.93026545726887,4.052592161105101,78.41091492776886
12,Dag_hverdag,79.64623972903469,15.254343599071692,5.099416671893621,1.1039327604591356,3.644232578561124,1.4363670576428527,80.91679123069258
12,Natt_helg,72.16443371889822,9.78613630689856,18.049429974203214,4.077556794541066,13.763834567695765,4.2772738620287925,78.81219903691814
13,Dag_hverdag,79.47688640782789,15.179075456313115,5.344038135858998,1.2356520102866462,3.7195007213197018,1.6057203788496517,80.96661684105631
13,Natt_helg,72.10618290754765,10.069068819172838,17.82474827327952,3.7446950153948575,13.83872846800366,3.9776982607972036,79.13322632423755
14,Dag_hverdag,79.7089631813335,15.172803111083233,5.118233707583266,1.2356520102866462,3.537602709653139,1.5618139622404816,80.61783756851021
14,Natt_helg,71.59856869434968,9.836065573770492,18.565365731879837,4.03594907214779,14.371307314637596,4.185736872763584,78.41091492776886
15,Dag_hverdag,79.25108197955215,15.636956658094462,5.111961362353384,0.9784858558615066,3.71322837608982,1.3799159505739196,81.16591928251121
